id,text,manual_label
1b109222-dc42-4d14-92fc-c60320f919f7,FCDO - Foreign Secretary to call for international cooperation to manage the global implications of AI Foreign Secretary to chair first ever UN Security Council session on AI https://www.gov.uk/government/news/foreign-secretary-to-call-for-international-cooperation-to-manage-the-global-implications-of-artificial-intelligence?utm_medium=email&utm_campaign=govuk-notifications-topic&utm_source=7a20d888-ea19-4348-8ec2-d32042ad5788&utm_content=daily,
7991db15-4956-4f31-901e-a5957934fafa,"ChatGPT isn't the death of homework – just an opportunity for schools to do things differently The UK government has launched a consultation on the use of generative AI in education, following the publication of initial guidance on how schools might make best use of this technology. https://theconversation.com/chatgpt-isnt-the-death-of-homework-just-an-opportunity-for-schools-to-do-things-differently-205053?utm_medium=email&utm_campaign=Latest%20from%20The%20Conversation%20for%20July%2028%202023%20-%202694027208&utm_content=Latest%20from%20The%20Conversation%20for%20July%2028%202023%20-%202694027208+CID_81b44f84b191ce70eb7a13acf42deef4&utm_source=campaign_monitor_uk&utm_term=ChatGPT%20isnt%20the%20death%20of%20homework%20%20just%20an%20opportunity%20for%20schools%20to%20do%20things%20differently",
914f2011-717a-400c-9e22-a4463f2b3f07,"DfE - Generative AI in education: educator and expert views The DfE has published a report on the insights from educators, experts, quantitative data sources and grey literature on what this means for the use of generative AI (GenAI) in education. Read the full report",
e5fcb0b3-f40f-435f-9c52-e357ce815ff0,Ofsted Statement - How Ofsted looks at AI during inspection and regulation Statement on how Ofsted looks at AI during inspection and regulation,
a0a05c90-af1c-4671-8fdc-bcaab4aac7fc,"DfE Consultation - Narrowing the digital divide in schools and colleges This consultation sets out the Department for Education's long-term vision for narrowing the digital divide in schools and colleges, focusing on proposals for the future of the digital and technology standards . Deadline: 23 May 2025",
4d566bdd-bb9c-4e83-beda-13171ae20bc0,"DfE - AI revolution to give teachers more time with pupils"": New AI guidance , developed by the Chiltern Learning Trust and CCoT, on how to use AI safely and effectively; AI tools to automate tasks such as generating standard letters; £1m in new funding for development of innovative AI tools for marking; Schools and colleges are invited to serve as test beds for evaluating new EdTech solutions.",
02a26253-a12d-457a-bf1c-7ac8c734b751,"Ofsted has published its approach to AI. Ofsted already uses AI (e.g. in its risk assessment of 'good' schools, to help decide whether to carry out full graded inspections). It will explore how else it could use AI to be more efficient and make better decisions.",
d0bd333a-f888-442c-9bf7-41c64e22d345,"Sir Martyn Oliver's speech to Parentkind Sir Martyn Oliver, Ofsted's Chief Inspector, spoke to Parentkind on the role of parents in education. He emphasised that smartphones have no place in schools and Ofsted will back headteachers who take a tough line on smartphones in their schools. Parentkind has now called on the Secretary of State for Education, Rt Hon Bridget Phillipson MP, to make this an urgent priority.",
58ead779-ad80-492b-844e-00bfd566990e,Meet the founders of 'revolutionary' AI being rolled out in schools Jessica Hill AI marking: the answer to poor recruitment or 'pure snake oil'?,
be4fe8a5-4b5f-41d6-9de2-4e8df14f5b47,DfE moves ahead with e-register plan amid attendance crackdown Electronic register mandate gives education secretary direct access to live absence rates https://schoolsweek.co.uk/dfe-moves-ahead-with-e-register-plan-amid-attendance-crackdown/,
1d99f921-ac60-46bf-9d84-9de09359ddf1,SchoolsWeek - Schools wanted for AI lesson planning trial Education Endowment Foundation study to assess whether AI tool can save teachers time while not compromising on quality,
a1219e81-0d48-4f0d-b4b7-9d72d97d46d7,"SchoolsWeek - The DfE's new materials dangerously underplay AI's risks Dr Lucy Rycroft-Smith, Darren Macey, University of Cambridge AI support materials published by the department last week effectively transfer responsibility for all of its risks onto schools while ignoring the need for much more critical reflection on its pros and cons",
5fac99e0-9441-4ae4-a07d-89618c337e03,Legal showdown over Oak National Academy quango gets the go-ahead Bodies representing ed tech and publishing firms say the curriculum body amounts to 'unlawful state subsidy',
