id,newsletter_number,issue_date,theme,subtheme,title,description,link,new_theme,domain,organisation,title_length,description_length,title_word_count,description_word_count
56bbc37a-4fc1-4906-a7fa-2b55c664cff7,1,11 July 2023,Thematic roundup,Digital,A long read from Nuffield funded research project ' Advancing Leadership Development in Early Years Education via Digitally Mediated Professional Learning',"In brief, the report finds:",https://www.nuffieldfoundation.org/wp-content/uploads/2021/10/Project-Report-Advancing-Ear-Years-Leadership-Development.pdf,digital_ed,www.nuffieldfoundation.org,nuffield,155,27,21,5
b83f3825-767b-4f21-90aa-35e36ed27a11,2,16 July 2023,PI Updates and Papers,Digital,Cutting through the conjecture: How is EdTech really being used in our classrooms?,Full post - https://edtech.oii.ox.ac.uk/cutting-through-the-conjecture/,https://edtech.oii.ox.ac.uk/cutting-through-the-conjecture,digital_ed,edtech.oii.ox.ac.uk,oii_edtech_equity,82,71,13,4
3187712e-c9ee-4afb-b71c-338f775c499b,2,16 July 2023,Events,,Date: Wednesday 19 th July 9.30 – 11.30,https://epi.org.uk/events/education-priorities-for-the-next-general-election/,https://epi.org.uk/events/education-priorities-for-the-next-general-election,events_opportunities_research,epi.org.uk,epi,39,77,8,1
e1f9ff04-4b3a-48da-b7db-82a12c2eb364,2,16 July 2023,PI Updates and Papers,Leadership,A three-part series on leadership from Toby Greany and team on TES:,Part 1: Headteacher recruitment crisis: 5 tips for action,https://www.tes.com/magazine/leadership/staff-management/headteacher-recruitment-crisis-applications,project_updates,www.tes.com,tes,67,57,12,9
ee262567-2f7a-417c-bae2-e24cfb5a121b,3,20 July 2023,Seminar topics,,FFT Data Labs - Should we redefine persistent absence?,https://ffteducationdatalab.org.uk/2023/07/should-we-redefine-persistent-absence/,https://ffteducationdatalab.org.uk/2023/07/should-we-redefine-persistent-absence,project_updates,ffteducationdatalab.org.uk,fft_ed_datalab,54,81,9,1
cf6cb065-2904-44d4-a9d2-dd1f81ca4d47,3,20 July 2023,PI Updates and Papers,,This research paper brings together three of the young journalists who worked on The Corona Times Journal to reflect on their experiences of being involved in the project.,https://www.tandfonline.com/doi/epdf/10.1080/13642987.2022.2061954?needAccess=true&role=button,https://www.tandfonline.com/doi/epdf/10.1080/13642987.2022.2061954?needAccess=true&role=button,project_updates,www.tandfonline.com,taylor_and_francis,171,94,28,1
f53d6237-8b67-4054-9858-36ce10e3b4a8,4,31 July 2023,Other Research,,Normal working hours:,Monday – Thursday 8am – 5.30pm,https://www.ucl.ac.uk/education-research-programme,events_opportunities_research,www.ucl.ac.uk,ucl,21,30,3,6
51ee4890-cae6-4592-8b1f-c3978bd00ed6,5,4 September 2023,Political landscape & key organisations,,Labour – Breaking down the barriers to opportunity,Labour sets out its plans for education https://labour.org.uk/wp-content/uploads/2023/07/Mission-breaking-down-barriers.pdf,https://labour.org.uk/wp-content/uploads/2023/07/Mission-breaking-down-barriers.pdf,political_context_and_organisations,labour.org.uk,labour_party,50,123,8,8
7e3db7c4-3aa1-4c73-9d28-26be91ae1664,5,4 September 2023,What Matters in Education?,,Normal working hours:,Monday – Thursday 8am – 5.30pm,https://www.ucl.ac.uk/education-research-programme,political_context_and_organisations,www.ucl.ac.uk,ucl,21,30,3,6
25d2c150-4e0d-4f5c-bb81-d5b7a7808ed7,6,8 September 2023,"Teacher recruitment, retention & development",,Teacher Tapp - Nearly three-fifths of teachers surveyed said cliques at school have affected staff wellbeing over the past year.,https://teachertapp.co.uk/articles/timetables-and-toxicity-uniformity-and-discovery/,https://teachertapp.co.uk/articles/timetables-and-toxicity-uniformity-and-discovery,teacher_rrd,teachertapp.co.uk,teacher_tapp,128,84,20,1
044086b1-4eb7-4f74-af05-e0be287f2bb8,6,8 September 2023,EdTech,,"Artificial intelligence (AI) is still unsuitable for use in high-stakes exams, though it has the potential to reduce workload for teachers, the exam board AQA said.",TES - https://www.tes.com/magazine/news/general/artificial-intelligence-assessment-aqa-exam-board AQA - https://filestore.aqa.org.uk/content/consultation-responses/AQA-DFE-CONSULTATION-GENERATIVE-AI-AUG23.PDF,https://www.tes.com/magazine/news/general/artificial-intelligence-assessment-aqa-exam-board,digital_ed,www.tes.com,tes,164,208,26,6
